car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
41031302,0,normal,1,1,1,1,1
40455796,1,normal,1,1,1,1,1
40954031,1,normal,1,1,1,1,1
40641971,0,normal,1,1,1,1,1
39858696,0,normal,1,1,1,1,1
40862584,0,normal,1,1,1,1,1
40892840,1,normal,1,1,1,1,1
40846598,0,normal,1,1,1,1,1
40779336,0,normal,1,1,1,1,1
40645164,1,normal,1,1,1,1,1
40900762,1,normal,1,1,1,1,1
40113573,0,normal,1,1,1,1,1
39858741,0,normal,1,1,1,1,1
41014383,0,normal,1,1,1,1,1
40630110,1,normal,1,1,1,1,1
40779148,1,normal,1,1,1,1,1
40976723,1,normal,1,1,1,1,1
40861243,0,normal,1,1,1,1,1
40803723,0,normal,1,1,1,1,1
40970453,0,normal,1,1,1,1,1
41002197,0,good,1,1,1,1,1
40797125,0,normal,1,1,1,1,1
40808080,0,normal,1,1,1,1,1
40198331,0,normal,1,1,1,1,1
40809133,0,normal,1,1,1,1,1
40964720,0,normal,1,1,1,1,1
40472507,0,normal,1,1,1,1,1
40797168,0,normal,1,1,1,1,1
40971219,0,normal,1,1,1,1,1
40757398,0,normal,1,1,1,1,1
40048973,0,normal,1,1,1,1,1
40288837,0,normal,1,1,1,1,1
40836572,1,normal,1,1,1,1,1
40499588,0,normal,1,1,1,1,1
40717189,0,normal,1,1,1,1,1
41033648,0,good,1,1,1,1,1
40978236,1,normal,1,1,1,1,1
40959446,0,normal,1,1,1,1,1
41009420,0,normal,1,1,1,1,1
39047975,0,normal,1,1,1,1,1
37954362,0,normal,1,1,1,1,1
41029050,1,normal,1,1,1,1,1
40797073,0,normal,1,1,1,1,1
40227240,0,good,1,1,1,1,1
40803513,0,normal,1,1,1,1,1
40835258,1,normal,1,1,1,1,1
40553839,1,normal,1,1,1,1,1
40814164,1,normal,1,1,1,1,1
40901941,0,good,1,1,1,1,1
40363916,0,normal,1,1,1,1,1
40823980,0,good,1,1,1,1,1
40816585,0,good,1,1,1,1,1
40891819,0,good,1,1,1,1,1
