car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
40156110,0,normal,1,1,1,1,1
39087352,1,normal,1,1,1,1,1
40684843,0,good,1,1,1,1,1
40995993,1,normal,1,1,1,1,1
40815333,1,normal,1,1,1,1,1
40962838,1,good,1,1,1,1,1
40578747,0,normal,1,1,1,1,1
40449319,0,normal,1,1,1,1,1
37668574,1,normal,1,1,1,1,1
41021744,0,normal,1,1,1,1,1
39537448,1,normal,1,1,1,1,1
40891190,1,normal,1,1,1,1,1
40990955,1,normal,1,1,1,1,1
40703918,1,normal,1,1,1,1,1
40767182,1,normal,1,1,1,1,1
35895046,0,normal,1,1,1,1,1
40867528,0,normal,1,1,1,1,1
40939615,1,normal,1,1,1,1,1
40940777,0,normal,1,1,1,1,1
40491296,0,normal,1,1,1,1,1
40763475,0,good,1,1,1,1,1
40835667,0,normal,1,1,1,1,1
40742152,0,normal,1,1,1,1,1
41003733,0,normal,1,1,1,1,1
40764033,0,normal,1,1,1,1,1
40074510,1,normal,1,1,1,1,1
40863155,0,normal,1,1,1,1,1
40946154,1,normal,1,1,1,1,1
40891336,0,normal,1,1,1,1,1
38008059,0,normal,1,1,1,1,1
39944333,0,normal,1,1,1,1,1
38066963,0,normal,1,1,1,1,1
40762897,0,good,1,1,1,1,1
37353410,1,normal,1,1,1,1,1
40862655,0,normal,1,1,1,1,1
41019268,0,normal,1,1,1,1,1
40693457,1,normal,1,1,1,1,1
39750807,1,normal,1,1,1,1,1
40700272,0,normal,1,1,1,1,1
40638471,1,normal,1,1,1,1,1
37480451,1,normal,1,1,1,1,1
40345584,1,normal,1,1,1,1,1
40975871,1,normal,0,0,1,0,1
38771877,0,normal,1,1,1,1,1
40031782,1,normal,1,1,1,1,1
40360298,1,normal,1,1,1,1,1
41027348,0,normal,1,1,1,1,1
40890505,0,normal,1,1,1,1,1
40416429,0,normal,1,1,1,1,1
40225177,0,good,1,1,1,1,1
40335118,1,normal,1,1,1,1,1
40797698,0,normal,1,1,1,1,1
40901108,0,normal,1,1,1,1,1
37885709,0,normal,1,1,1,1,1
41006316,1,normal,1,1,1,1,1
40702521,0,normal,1,1,1,1,1
40268366,1,normal,1,1,1,1,1
40749190,1,normal,1,1,1,1,1
38513466,1,normal,1,1,1,1,1
39761886,1,normal,1,1,1,1,1
39088522,0,normal,1,1,1,1,1
39969541,0,normal,1,1,1,1,1
40791380,0,normal,1,1,1,1,1
40510637,0,normal,1,1,1,1,1
38656298,1,normal,1,1,1,1,1
40823647,0,normal,1,1,1,1,1
40939131,0,normal,1,1,1,1,1
40668133,0,normal,1,1,1,1,1
40437918,1,normal,1,1,1,1,1
38370951,0,normal,0,0,0,0,0
40224406,0,normal,1,1,1,1,1
40967051,0,normal,1,1,1,1,1
40693945,1,normal,1,1,1,1,1
39549510,0,normal,1,1,1,1,1
41023535,0,normal,1,1,1,1,1
40734521,1,normal,1,1,1,1,1
40798407,1,normal,1,1,1,1,1
39801452,0,normal,1,1,1,1,1
40457235,1,normal,1,1,1,1,1
40265143,1,normal,1,1,1,1,1
39880450,0,normal,1,1,1,1,1
40852754,0,normal,1,1,1,1,1
40115849,1,normal,1,1,1,1,1
40751369,0,normal,1,1,1,1,1
40915278,0,normal,1,1,1,1,1
40543380,0,normal,1,1,1,1,1
40737284,1,normal,1,1,1,1,1
40734647,0,normal,1,1,1,1,1
39522643,0,normal,1,1,1,1,1
40835714,0,normal,1,1,1,1,1
40687146,0,normal,1,1,1,1,1
40815926,0,normal,1,1,1,1,1
40258655,0,normal,1,1,1,1,1
40932064,0,normal,1,1,1,1,1
40801178,0,normal,1,1,1,1,1
40640984,0,normal,1,1,1,1,1
40628239,1,normal,1,1,1,1,1
40877072,1,normal,1,1,1,1,1
40810101,0,normal,1,1,1,1,1
40900862,0,good,1,1,1,1,1
40707871,0,normal,1,1,1,1,1
40272592,1,normal,1,1,1,1,1
40272594,1,normal,1,1,1,1,1
40865965,1,normal,1,1,1,1,1
39870851,1,normal,1,1,1,1,1
40947875,0,normal,1,1,1,1,1
40514579,1,normal,1,1,1,1,1
41026376,1,normal,1,1,1,1,1
40991371,1,normal,1,1,1,1,1
40953456,0,normal,1,1,1,1,1
40997376,1,good,1,1,1,1,1
40813809,1,normal,1,1,1,1,1
40023464,1,normal,1,1,1,1,1
40766162,1,normal,1,1,1,1,1
40338680,1,normal,1,1,1,1,1
40627598,1,normal,1,1,1,1,1
40022032,1,normal,1,1,1,1,1
40305165,1,normal,1,1,1,1,1
40876382,1,normal,1,1,1,1,1
39982229,0,normal,0,0,0,0,0
39895732,0,good,1,1,1,1,1
40042217,1,normal,1,1,1,1,1
39920814,1,normal,1,1,1,1,1
39231872,0,good,1,1,1,1,1
39714715,1,normal,1,1,1,1,1
40353644,1,normal,1,1,1,1,1
40139078,1,normal,1,1,1,1,1
40015966,1,normal,1,1,1,1,1
40939649,1,normal,1,1,1,1,1
40032929,1,normal,1,1,1,1,1
39888963,1,normal,1,1,1,1,1
39399338,1,normal,1,1,1,1,1
38993822,1,normal,1,1,1,1,1
39067186,0,good,1,1,1,1,1
38500971,1,normal,1,1,1,1,1
40134071,1,good,1,1,1,1,1
40811756,1,normal,1,1,1,1,1
39911322,0,normal,1,1,1,1,1
40809592,0,normal,1,1,1,1,1
40626713,1,normal,1,1,1,1,1
39787356,1,normal,1,1,1,1,1
40336284,1,normal,1,1,1,1,1
39773445,0,good,1,1,1,1,1
40154336,0,normal,1,1,1,1,1
40526724,1,normal,1,1,1,1,1
39894781,0,good,1,1,1,1,1
40035767,1,normal,1,1,1,1,1
40941038,1,normal,1,1,1,1,1
39586006,1,good,1,1,1,1,1
40235285,1,normal,1,1,1,1,1
40580634,0,normal,1,1,1,1,1
40721257,1,normal,1,1,1,1,1
40759774,1,normal,1,1,1,1,1
40201080,1,normal,1,1,1,1,1
40904758,0,normal,1,1,1,1,1
40343984,1,normal,0,0,0,0,0
41001759,0,normal,1,1,1,1,1
39909966,1,normal,1,1,1,1,1
41024644,0,normal,1,1,1,1,1
40620159,0,normal,1,1,1,1,1
40967833,1,normal,1,1,1,1,1
40929914,1,normal,1,1,1,1,1
40478000,1,normal,1,1,1,1,1
40811998,0,good,1,1,1,1,1
40998678,0,normal,1,1,1,1,1
40429261,1,normal,1,1,1,1,1
40637921,0,normal,1,1,1,1,1
40883178,1,normal,1,1,1,1,1
40733071,1,normal,1,1,1,1,1
40530315,0,normal,1,1,1,1,1
38096548,1,normal,1,1,1,1,1
36820396,0,normal,1,1,1,1,1
40501295,0,normal,1,1,1,1,1
40423418,1,normal,1,1,1,1,1
40830792,0,good,1,1,1,1,1
40740177,0,normal,1,1,1,1,1
40810032,0,normal,1,1,1,1,1
40923076,0,normal,1,1,1,1,1
40709238,0,normal,1,1,1,1,1
39889572,1,normal,1,1,1,1,1
40907250,0,normal,1,1,1,1,1
40970919,0,normal,1,1,1,1,1
40712145,0,normal,1,1,1,1,1
41006035,1,normal,1,1,1,1,1
39399135,1,normal,1,1,1,1,1
39399130,1,normal,1,1,1,1,1
39525616,1,normal,1,1,1,1,1
40621858,1,normal,1,1,1,1,1
40888819,1,good,1,1,1,1,1
39402492,1,normal,1,1,1,1,1
40736064,1,normal,1,1,1,1,1
39955478,1,normal,1,1,1,1,1
40985158,0,normal,1,1,1,1,1
40713104,1,normal,1,1,1,1,1
40655584,0,normal,1,1,1,1,1
40612195,0,normal,0,0,0,0,0
39824931,1,normal,1,1,1,1,1
40611316,1,normal,1,1,1,1,1
40078278,0,normal,1,1,1,1,1
41002054,0,normal,1,1,1,1,1
40942280,0,normal,1,1,1,1,1
41018308,1,normal,1,1,1,1,1
